Vegetable,Nitrogen (N),Phosphorus (P),Potassium (K),Rainfall (mm),pH,Temperature,Humidity
Spinach,150,132,161,198.654214,6.453006,19.561207,69.955222
Chinese cabbage,184,141,173,190.305205,6.92809,21.992764,61.764498
Peas,147,110,134,193.594192,6.023635,16.521156,64.488546
Eggplant,159,122,130,203.549293,6.539098,25.35709,67.915806
Chinese cabbage,178,146,168,199.660811,5.767512,18.892412,63.171304
Zucchini,180,147,156,226.451375,5.762073,23.979457,61.783135
Peas,139,110,120,184.659123,5.988573,16.502935,68.41154
Kale,150,109,150,207.175714,5.79023,17.522466,67.725468
Bok choy,157,136,159,176.43878,6.305696,19.407353,67.648861
Bok choy,165,134,150,180.847405,6.873446,20.798686,60.091316
Beans,151,126,136,214.514285,6.198928,21.871634,63.996338
Mustard greens,135,99,123,189.323586,5.824385,20.970473,64.115953
Celery,123,114,145,167.073954,7.2509,16.394797,78.756492
Cauliflower,190,140,171,207.951,6.972634,20.889897,61.268942
Spinach,148,122,180,206.915714,6.016094,16.053517,64.374346
Kale,151,110,144,217.567782,6.105556,19.237778,62.848364
Peas,145,118,138,184.303297,5.807048,16.369639,62.052343
Tomatoes,160,150,190,228.228124,6.120881,24.845199,61.578049
Spinach,160,120,180,201.697017,6.626316,18.770281,61.94763
Radishes,118,95,120,150.652266,6.026715,22.416479,64.188684
Celery,121,112,140,177.041249,6.741562,17.300615,74.786917
Carrots,129,105,100,175.315379,6.444866,15.185058,79.430967
Bok choy,167,120,149,189.345954,5.649574,23.991907,63.460549
Bell peppers,146,103,158,190.393861,6.418803,22.449722,63.535224
Spinach,152,133,179,205.218964,6.397478,17.314955,60.516894
Broccoli,195,132,199,208.754452,6.575232,19.426323,60.005392
Cabbage,203,168,217,183.839002,6.799439,16.655574,74.731012
Broccoli,187,130,189,209.506491,6.403354,19.415649,62.705117
Tomatoes,160,144,186,220.727535,5.855498,21.854903,62.950832
Bell peppers,149,118,152,184.17534,5.63945,25.670896,68.222965
Bok choy,169,125,156,185.358316,5.684405,22.713075,67.656534
Spinach,141,128,163,201.329999,6.62858,15.841755,65.455802
Cucumbers,161,133,155,206.450406,6.862613,20.865435,66.834689
Broccoli,200,139,190,213.674358,6.694878,18.448989,60.030665
Bok choy,154,122,141,187.143049,6.408087,21.500778,63.667124
Peas,141,103,127,183.450707,6.486792,17.704253,61.739162
Mustard greens,141,97,129,198.85167,6.313816,23.090815,64.887041
Carrots,125,96,100,180.924397,6.730364,19.333152,74.982774
Tomatoes,163,143,185,223.4359,6.919879,23.467621,62.535468
Brussels sprouts,185,165,184,228.837965,6.998293,18.035955,67.095273
Radishes,110,87,111,161.086943,6.263463,20.939902,66.894744
Kale,157,107,144,200.241745,6.078492,19.279557,61.937828
Tomatoes,180,141,183,231.523213,6.590256,20.607886,67.180701
Celery,130,117,147,171.96495,6.616928,16.235371,77.951274
Radishes,111,93,112,153.267969,5.687485,18.147511,60.274702
Spinach,156,129,178,194.913944,5.696953,19.731351,62.777734
Spinach,147,125,160,190.213344,6.379113,19.035076,66.901772
Carrots,139,102,117,182.429541,7.312527,19.223159,77.561252
Cabbage,210,166,218,198.09304,6.964876,18.507795,76.563865
Zucchini,177,133,160,232.723159,5.565594,23.986592,69.084533
Spinach,152,127,172,203.968002,6.108522,18.932947,60.766413
Broccoli,183,135,200,202.642664,6.915967,21.210979,62.877963
Cauliflower,190,133,169,209.049696,6.495158,20.038376,62.851423
Bell peppers,138,102,156,187.724987,5.827447,23.649273,68.619568
Beans,150,116,148,217.493857,7.42777,18.79742,64.866923
Bell peppers,131,120,151,185.775066,6.540332,20.787577,64.420318
Cauliflower,179,141,170,198.147474,5.703985,20.302348,62.056243
Radishes,112,93,119,153.83079,6.329466,19.786805,60.064311
Chinese cabbage,186,135,176,195.639702,6.915341,19.92503,64.250814
Radishes,112,97,115,164.007331,6.755758,21.306995,69.604317
Kale,152,104,145,212.296215,6.834455,19.477116,61.352189
Chinese cabbage,175,138,163,200.700809,5.780826,21.053359,68.979944
Kale,142,109,137,201.764748,6.037594,17.028863,65.237894
Celery,131,114,141,160.249431,7.350316,17.42166,76.224449
Broccoli,196,138,180,207.573653,6.030031,23.549364,62.696915
Eggplant,143,130,145,202.400425,7.413758,25.873027,69.487055
Zucchini,178,143,169,223.147586,6.222407,24.347242,63.393053
Kale,152,118,148,205.687491,6.058821,17.361768,68.937027
Kale,158,108,135,202.814497,6.119061,16.150101,63.283646
Lettuce,166,112,163,212.878749,5.926999,20.20465,62.864429
Eggplant,149,124,146,208.276157,6.169181,25.055658,68.319574
Tomatoes,166,153,192,235.819595,6.638038,21.850873,61.263967
Radishes,116,95,110,152.921399,6.694569,19.30256,62.299792
Bell peppers,134,112,163,193.302875,5.554047,23.76231,65.898165
Bell peppers,144,120,152,188.560039,6.399407,21.57284,68.626934
Kale,150,116,138,204.842159,6.072012,19.547841,60.405304
Zucchini,173,149,167,234.968769,6.573612,22.864814,68.698554
Broccoli,197,138,200,216.509476,5.849882,19.659231,63.558469
Bok choy,156,120,146,187.586149,6.492719,21.847254,65.678448
Celery,123,120,132,174.34263,6.897847,17.782352,74.559023
Tomatoes,165,141,184,220.931285,6.925183,23.233781,67.713974
Radishes,110,80,115,160.128518,5.968926,23.846028,64.473814
Chinese cabbage,183,145,172,206.527281,5.575054,23.36554,62.243866
Broccoli,190,128,186,202.107049,5.833795,23.441706,61.193901
Mustard greens,148,97,132,192.746695,5.51058,20.712664,64.548848
Zucchini,172,143,167,223.809376,5.992384,23.832574,65.258566
Eggplant,146,120,145,213.942863,6.481606,25.170029,63.44016
Chinese cabbage,188,133,160,192.353703,6.970722,21.897904,66.383943
Brussels sprouts,181,162,198,221.541865,6.923619,19.766182,69.216854
Cabbage,213,170,206,186.346649,7.016896,19.729579,73.231498
Cucumbers,151,124,149,217.282443,6.158382,24.932587,60.617327
Tomatoes,175,141,183,235.423504,6.579572,25.594022,60.771324
Broccoli,199,125,195,212.599728,6.921755,23.683548,69.243209
Radishes,112,80,118,169.409432,6.246127,20.761595,67.339178
Peas,143,108,132,181.493049,6.330976,19.824836,61.694176
Bok choy,167,133,143,174.017516,6.746624,19.903193,63.797229
Celery,129,113,140,170.782043,7.474931,19.554628,78.786975
Mustard greens,131,108,120,185.116961,6.92666,23.650428,68.318876
Bok choy,157,138,148,179.311173,6.978973,23.670555,66.6562
Bok choy,155,131,148,180.745377,5.685367,18.589163,62.355785
Spinach,158,136,173,198.28512,5.666087,18.259034,62.59036
Zucchini,175,141,165,235.738644,6.332296,25.602311,60.496283
Radishes,125,98,111,162.955981,6.676453,22.516125,66.936703
Peas,135,117,129,183.350514,5.546854,17.911102,67.616071
Cabbage,218,152,202,185.177862,7.162661,18.304294,73.548938
Lettuce,174,115,160,219.522491,6.428241,19.743792,67.947903
Radishes,119,86,100,154.455443,6.673625,18.033831,62.546271
Radishes,120,94,105,159.361579,6.725537,21.075115,67.780643
Spinach,153,127,169,201.092514,6.364695,17.484912,66.731423
Carrots,126,94,102,178.819327,6.959719,18.279224,77.471969
Beans,153,110,139,212.520594,7.102495,18.728137,69.879521
Carrots,120,92,116,175.344268,6.42913,19.316767,74.272362
Lettuce,163,104,166,213.707862,5.874855,21.850379,67.631306
Cabbage,216,151,210,190.647495,6.09405,19.527161,74.156624
Cauliflower,186,131,164,209.974905,6.774845,19.892648,61.934242
Celery,135,101,133,166.059117,7.056061,16.410174,79.117856
Tomatoes,168,159,188,227.179994,5.668303,25.618069,64.768258
Cabbage,202,160,211,184.789963,6.496077,15.695181,76.488794
Bell peppers,150,109,167,185.396901,6.441885,22.022345,67.068505
Zucchini,160,131,168,228.717207,5.920035,23.349713,68.929983
Chinese cabbage,182,144,168,201.244523,6.230155,18.254702,68.000086
Cauliflower,187,147,176,191.497964,6.211191,20.861264,68.50466
Lettuce,170,112,158,211.41638,6.918672,19.83226,68.074774
Cucumbers,159,134,153,203.959513,5.598911,20.733614,69.511635
Beans,160,115,144,208.083251,6.719762,21.322132,67.74632
Brussels sprouts,194,163,186,210.616612,5.792549,18.50164,67.127665
Broccoli,194,123,181,216.026807,6.331464,20.085804,63.401585
Zucchini,166,143,168,227.035748,6.362701,23.437658,64.270114
Spinach,142,136,169,202.891209,6.205955,19.003761,66.736524
Eggplant,157,124,132,205.540982,6.038894,21.692211,67.171781
Kale,160,110,133,205.942913,6.386078,17.01255,67.254258
Beans,160,124,148,214.652962,7.491603,22.344136,68.768317
Mustard greens,141,90,122,184.241362,6.115629,23.410994,65.226078
Bell peppers,135,103,162,195.003573,5.86023,22.473583,65.351551
Brussels sprouts,196,167,186,218.799476,6.961586,17.352414,63.345818
Lettuce,172,112,174,206.429797,6.281875,22.969538,64.628375
Celery,138,110,136,170.60444,6.724248,18.141785,76.758172
Celery,125,120,130,160.614011,7.174751,18.371353,71.837228
Bell peppers,141,102,167,192.761251,5.661796,23.995851,64.967671
Brussels sprouts,197,158,194,217.352246,6.355795,16.63732,61.685144
Cucumbers,157,132,148,207.06542,6.167967,20.966617,66.396993
Chinese cabbage,185,147,173,197.566013,6.222184,18.796176,69.348145
Bell peppers,143,116,155,180.001252,6.350381,24.191685,62.758443
Cucumbers,156,120,141,213.319511,6.004626,23.673331,61.672282
Peas,144,103,135,192.965555,6.514577,16.614649,69.001119
Bell peppers,150,103,165,180.881138,6.376264,22.237558,67.462365
Cucumbers,161,120,154,209.100902,6.422313,22.186271,67.754677
Zucchini,177,141,159,228.68366,6.069091,25.011079,69.55561
Zucchini,174,146,155,230.200336,6.41666,20.759069,67.520053
Bell peppers,133,120,155,187.446299,6.282208,21.740699,66.768062
Lettuce,176,106,180,210.959211,5.872405,21.262027,60.977884
Cauliflower,185,135,172,191.094847,6.453925,23.494391,65.937748
Broccoli,183,140,184,219.011991,6.457003,22.755915,62.920357
Kale,160,111,137,213.033968,6.923596,15.336438,68.71964
Spinach,154,124,171,196.960349,6.724985,16.326809,68.328499
Beans,155,124,145,208.614207,6.386856,19.192764,62.824743
Chinese cabbage,186,136,170,208.686362,6.106801,19.982642,69.997631
Radishes,115,89,101,167.746159,5.882193,22.19097,61.480142
Cucumbers,159,121,144,212.921451,6.5701,23.330595,62.181261
Kale,140,101,148,205.153811,6.403622,16.704779,66.274618
Broccoli,191,122,192,206.334381,5.933033,23.713833,65.606786
Lettuce,168,119,168,219.293187,5.664314,22.139536,61.648338
Radishes,118,89,111,153.738719,6.671717,23.494337,62.562201
Cauliflower,176,144,172,204.031231,6.86229,19.151543,61.508413
Mustard greens,134,102,123,190.62285,5.876534,22.06365,68.743499
Lettuce,160,109,159,215.586575,6.869104,23.222254,60.488563
Tomatoes,169,149,197,233.146697,6.793679,20.49592,60.201623
Zucchini,170,139,162,238.280341,5.776607,20.594247,62.322676
Kale,158,105,136,208.221841,6.813654,15.939445,69.996428
Chinese cabbage,181,133,164,200.339424,5.580473,19.069442,62.176063
Mustard greens,146,91,123,184.057626,6.460062,19.262768,65.192597
Lettuce,169,118,162,212.491326,6.744878,20.118227,63.153642
Bell peppers,131,120,164,182.108662,6.016674,23.35012,60.112275
Cauliflower,177,133,172,191.404767,6.901894,21.314874,60.248423
Eggplant,154,110,130,205.803681,6.895661,23.162991,63.01403
Spinach,141,137,163,202.755081,6.08328,16.683008,60.535057
Bok choy,165,136,156,172.388553,6.305566,21.143076,69.094893
Beans,160,129,132,210.596719,6.817123,21.418815,65.206524
Bell peppers,140,106,163,182.951271,5.558025,22.39426,67.517545
Carrots,137,108,103,186.382581,7.399409,17.878666,72.768997
Bell peppers,141,105,166,194.6053,6.107064,20.651719,64.018626
Carrots,121,107,100,175.361069,6.793743,18.008678,78.812256
Celery,131,120,150,163.33833,6.780804,17.573635,75.574767
Lettuce,171,116,171,204.831379,6.538729,18.98962,63.89082
Kale,148,111,146,215.565309,6.513311,15.631269,67.613787
Lettuce,158,116,174,205.762125,6.421085,19.026124,61.778557
Eggplant,140,127,131,217.387277,7.224627,22.038955,62.053993
Broccoli,186,123,192,208.661795,6.401559,22.241127,66.863925
Broccoli,196,129,183,202.082329,6.426811,23.002918,63.920845
Cucumbers,165,123,152,214.930185,6.755254,21.867015,65.672575
Mustard greens,146,103,121,184.622143,6.795687,23.729668,67.026211
Radishes,111,86,103,151.848248,6.140938,20.414566,67.692704
Mustard greens,149,105,124,197.190801,5.877251,23.394595,65.212631
Carrots,129,110,118,180.607389,6.2215,17.031721,73.951059
Brussels sprouts,198,151,183,213.909208,6.321764,16.356715,66.074325
Cabbage,217,161,204,185.747192,6.52535,19.059525,75.240907
Kale,150,120,142,209.634737,6.70981,17.578245,68.754964
Peas,146,119,138,197.78816,5.892808,16.002333,63.0766
Brussels sprouts,189,155,199,212.507536,6.369931,15.894645,69.812583
Tomatoes,177,151,189,230.27742,5.965083,22.277147,60.827107
Kale,141,109,145,206.954063,5.57644,15.605991,69.155148
Peas,143,120,136,187.453064,5.888874,17.759089,67.733626
Eggplant,154,121,134,203.478507,6.856072,22.733092,67.162194
Spinach,158,127,180,200.199694,6.72505,19.327444,68.499143
Beans,157,111,147,213.393382,6.401541,19.880075,62.569032
Tomatoes,180,155,184,233.38564,5.972383,21.271672,66.673912
Kale,147,108,136,205.103771,6.89072,17.74762,61.536286
Cabbage,212,155,214,197.821051,6.675281,16.56359,77.648735
Radishes,111,82,105,164.635736,6.675727,22.687048,68.808917
Bell peppers,132,110,169,198.725976,6.4536,21.59073,67.851546
Cucumbers,151,138,141,205.186108,6.458948,21.616855,65.544429
Peas,148,111,135,196.349431,5.887472,18.918023,62.563161
Bok choy,156,130,141,183.067916,6.557495,19.727277,68.390973
Tomatoes,173,152,195,223.142302,6.480901,20.361021,63.58859
Bell peppers,139,104,157,193.530727,5.621753,25.416201,68.971025
Broccoli,181,122,191,200.810201,6.433545,22.111373,66.084838
Bell peppers,134,102,165,189.937166,6.077084,23.804746,66.056581
Bell peppers,143,113,156,193.603196,6.514551,22.668588,68.697861
Kale,149,114,130,218.008742,6.710609,16.550934,64.733689
Lettuce,167,106,160,213.807429,6.595094,18.60514,69.649608
Brussels sprouts,190,151,181,223.201633,5.714236,15.392711,65.496555
Broccoli,182,126,181,215.25345,6.103156,19.400981,66.042004
Carrots,133,94,118,186.810452,6.168945,15.52703,77.682117
Tomatoes,162,155,186,230.566069,6.806007,23.335303,65.928329
Cauliflower,176,147,165,208.155469,6.758481,18.493975,69.958829
Cucumbers,161,129,157,213.179419,6.840281,20.309292,66.596429
Kale,159,108,150,217.587229,6.284604,18.023559,64.613969
Tomatoes,173,145,184,225.311439,5.974877,20.084492,66.485971
Lettuce,153,110,167,208.475965,6.205457,23.166994,61.074988
Bok choy,161,130,152,189.522277,6.046131,23.05366,64.498077
Cabbage,213,150,209,199.366082,7.416516,17.187632,70.650376
Eggplant,158,127,147,203.51686,6.944863,24.916882,67.049259
Spinach,152,131,180,202.0119,6.324522,19.252035,64.742634
Chinese cabbage,184,141,176,196.960756,6.663745,22.42612,64.95822
Mustard greens,135,105,129,181.693384,6.096708,19.553974,62.36268
Radishes,120,87,109,152.695373,6.699693,19.019705,68.42612
Beans,143,126,150,213.092866,6.09035,21.289189,60.487737
Brussels sprouts,197,153,191,216.719219,5.563506,17.775363,68.272769
Bok choy,170,130,143,180.761921,5.551677,22.950757,66.992179
Tomatoes,172,153,192,235.852464,6.247579,23.022127,68.718611
Mustard greens,147,97,129,188.968401,6.292326,18.597747,65.867451
Mustard greens,141,92,120,180.806985,6.349776,22.565431,62.501138
Carrots,134,91,102,171.788903,6.776425,18.190952,77.690931
Tomatoes,175,150,181,238.414618,6.996071,24.317657,64.726607
Beans,160,128,149,218.512316,6.846539,22.080024,60.402039
Cauliflower,189,149,160,205.544602,5.659712,22.279452,60.926408
Beans,151,128,144,205.62418,7.281683,18.767201,67.674817
Spinach,144,124,161,190.717433,6.579652,16.802087,66.203138
Peas,149,100,136,182.894321,5.605254,19.757251,61.831615
Beans,150,120,140,212.005092,6.265981,19.202396,61.963146
Kale,153,112,140,205.393762,6.631549,19.405005,61.497552
Mustard greens,138,97,137,191.639001,6.897758,21.337122,60.945963
Broccoli,195,136,199,213.736547,5.702481,18.60108,61.17737
Broccoli,199,130,186,206.428155,6.429985,19.318957,62.651493
Radishes,121,85,116,158.581972,6.254904,21.943333,60.58915
Radishes,115,81,107,168.600219,6.81164,19.359417,65.465393
Broccoli,195,137,188,218.46879,6.737186,19.456511,60.221259
Spinach,145,129,176,192.914622,6.498771,16.771127,67.290295
Spinach,146,128,165,199.388135,6.843935,18.800244,65.981602
Tomatoes,177,147,195,233.588866,6.416923,23.606014,63.289351
Bok choy,166,137,147,179.432879,6.973999,18.475081,64.813377
Chinese cabbage,171,150,163,190.635122,6.534371,18.769591,68.467197
Peas,147,112,130,184.383802,5.615566,17.860366,62.828123
Eggplant,151,123,145,201.600605,6.959213,23.217605,64.613888
Peas,142,111,125,193.114324,6.644092,15.964928,66.199486
Peas,144,106,127,186.913315,6.448895,17.463615,60.908111
Zucchini,171,134,170,233.656744,6.555856,24.214963,66.565839
Carrots,136,90,101,175.38428,6.407286,18.214767,70.222204
Bok choy,163,125,143,172.448163,6.262112,22.099111,62.942896
Zucchini,163,145,167,232.395639,6.580833,21.870467,64.255186
Bell peppers,143,101,162,189.044437,6.596448,25.921199,65.966587
Spinach,158,137,165,194.862643,6.878881,17.627818,66.821735
Mustard greens,141,92,130,198.513453,6.395198,23.588866,62.776694
Cabbage,200,160,204,189.646423,6.062311,17.694942,71.535549
Celery,132,112,130,164.442812,6.819718,19.230591,74.691073
Zucchini,171,130,154,221.718428,6.014609,24.433741,68.230217
Cucumbers,168,134,152,216.912968,5.742377,24.092827,60.763297
Radishes,116,97,110,165.701645,5.958762,22.656595,64.712542
Tomatoes,161,141,191,238.710961,6.91971,22.00306,69.546839
Spinach,143,134,163,195.146462,5.866009,15.32335,68.385983
Cucumbers,165,125,146,209.210022,5.60757,22.427287,68.427556
Brussels sprouts,192,155,184,215.695004,6.958445,17.988632,68.180142
Cucumbers,163,120,144,204.51328,5.907659,24.69418,68.033346
Eggplant,143,116,137,216.919627,7.348294,25.819146,68.940225
Brussels sprouts,185,152,187,222.507005,6.493069,15.684993,64.152136
Chinese cabbage,184,140,176,197.201139,6.109654,21.272042,68.311617
Bell peppers,145,107,165,198.615568,6.849358,23.007019,64.876048
Cauliflower,182,132,180,199.600439,6.664444,18.578371,64.98997
Peas,136,100,137,193.186877,5.93803,16.190027,62.222029
Brussels sprouts,195,163,190,222.422582,6.338513,16.261555,64.932609
Spinach,148,136,173,201.871895,6.95474,16.539213,60.729876
Carrots,140,104,119,174.98333,6.267806,18.343716,70.841488
Beans,159,126,147,201.357958,6.402057,21.667625,62.629914
Broccoli,194,122,199,213.875308,6.331375,21.012476,64.522264
Carrots,139,100,113,187.946265,7.453939,18.543801,78.625983
Broccoli,192,124,180,219.390208,5.810425,20.865673,69.503792
Spinach,141,126,165,201.548882,6.028583,18.588785,66.037742
Zucchini,174,139,160,230.612153,5.834321,24.252571,67.899719
Peas,150,108,138,195.044529,5.626295,17.881941,64.033517
Broccoli,188,129,184,214.556252,6.895024,18.960738,67.575203
Tomatoes,163,157,194,223.842745,6.691926,23.956564,69.687318
Spinach,155,129,165,208.077269,6.625981,17.31065,69.651347
Chinese cabbage,188,150,166,194.84772,6.725787,20.510798,68.050069
Broccoli,188,130,185,216.603062,6.854517,18.432726,63.811622
Mustard greens,131,92,140,186.641541,6.480555,18.315283,60.426339
Lettuce,155,120,177,213.425247,6.633442,18.231681,61.299451
Bell peppers,144,109,159,197.783319,5.806819,20.121719,69.725592
Bok choy,168,133,151,178.708627,6.059134,19.819015,68.613586
Mustard greens,130,105,134,189.860994,6.412546,22.195377,62.664009
Eggplant,143,110,143,212.736963,7.480593,20.271509,63.635394
Bok choy,170,125,158,178.497295,6.748416,23.791025,64.82891
Cucumbers,155,130,157,205.915362,6.516288,24.876606,63.479496
Cucumbers,152,120,160,207.970376,6.724148,25.573368,62.924337
Cucumbers,167,140,151,204.507788,5.720572,22.745913,62.49001
Kale,144,104,133,216.331002,6.517155,18.435686,68.776786
Bell peppers,148,118,169,198.643292,6.699697,20.709311,61.676001
Brussels sprouts,191,162,190,215.135209,6.684423,17.184058,63.00397
Mustard greens,137,101,137,184.562918,5.679125,21.985607,67.567242
Cucumbers,166,128,160,210.951237,6.203939,20.849444,67.548866
Cauliflower,187,135,167,196.279374,5.81123,22.537586,64.429899
Mustard greens,146,102,136,188.514355,5.896534,23.316446,65.594016
Kale,148,110,150,200.409207,6.752088,17.157631,65.456183
Cabbage,207,158,203,195.041703,6.469494,17.048137,71.372375
Tomatoes,180,151,191,234.339099,6.151748,25.06067,69.176604
Bell peppers,135,117,166,192.360544,5.531957,20.620291,68.802876
Chinese cabbage,190,145,178,194.932491,5.924565,20.574484,68.309692
Zucchini,173,143,169,230.497458,6.524837,23.705807,68.63309
Broccoli,184,122,197,215.219778,5.6634,19.157484,68.437202
Cabbage,213,168,200,192.345968,6.713238,18.876388,72.924355
Bok choy,164,129,153,184.029748,5.552596,20.821608,65.682073
Broccoli,182,129,188,202.785119,6.009084,22.599059,60.204566
Brussels sprouts,200,159,192,213.287684,5.937151,19.202098,67.822509
Cucumbers,168,126,158,206.088597,5.709092,23.390543,69.737974
Bell peppers,135,106,159,183.144483,6.840649,25.68448,63.018503
Beans,154,129,130,212.071017,7.34934,22.728916,64.856624
Radishes,112,81,114,156.857253,5.559593,22.932157,62.428305
Cucumbers,154,134,146,200.071088,5.959241,20.616803,60.809636
Peas,145,114,127,188.804629,6.269566,19.505164,69.07795
Kale,143,120,145,212.736544,6.725579,15.249784,66.849061
Cucumbers,150,126,152,214.745138,6.263883,20.37342,63.688143
Eggplant,157,115,144,214.078724,7.122996,23.961529,69.358376
Zucchini,169,138,160,224.814274,5.823304,22.806039,67.455119
Beans,140,127,143,216.913201,6.032803,23.766399,61.892961
Spinach,152,128,180,203.417459,6.691848,17.655194,64.180124
Chinese cabbage,189,144,174,191.562604,6.047648,20.881113,69.922535
Bok choy,161,136,141,182.602587,6.311978,19.082907,65.767522
Celery,136,107,144,170.967559,6.556192,16.292176,75.640064
Broccoli,181,120,196,216.213952,5.693557,21.81395,68.671993
Kale,144,117,138,213.397187,5.63939,15.46813,68.022206
Broccoli,199,120,185,218.400271,6.037488,22.513091,69.889816
Zucchini,173,139,165,230.014161,5.526402,23.342073,69.071254
Peas,130,105,132,184.318923,5.827435,19.422897,63.754389
Cucumbers,164,132,141,210.103332,6.205658,21.056534,61.122834
Beans,158,126,130,203.068579,6.762152,19.825502,61.476247
Radishes,114,81,112,168.313645,6.29771,22.762017,68.307426
Bok choy,155,137,144,171.704938,5.871379,20.92808,69.205398
Cabbage,203,154,209,197.127574,6.718324,19.809164,75.78522
Lettuce,172,116,176,200.922219,6.905785,19.548309,63.208968
Tomatoes,173,156,183,229.460925,6.309449,20.537275,68.118566
Bell peppers,147,107,164,187.167472,5.691436,21.142799,64.336985
Kale,159,110,147,209.468411,6.497286,18.814793,62.671415
Broccoli,187,138,181,200.540751,6.271288,21.736388,66.984731
Mustard greens,133,93,124,184.048594,6.435554,21.799822,63.20881
Celery,128,101,142,166.978475,6.114697,16.065403,72.309759
Beans,143,113,137,203.782497,6.826485,22.522793,61.014148
Carrots,131,109,115,173.583804,6.853895,16.144498,78.663369
Celery,135,103,148,163.784604,7.445629,17.217383,72.707612
Kale,148,119,145,203.886695,6.744477,18.200471,61.995296
Bell peppers,146,108,159,196.838227,6.840667,24.65777,61.324782
Chinese cabbage,172,147,171,198.95885,5.939606,23.413421,66.345906
Beans,140,130,133,212.87111,6.351888,21.303015,68.172329
Cucumbers,151,136,152,214.755659,6.254666,25.883474,69.670334
Tomatoes,167,142,189,225.850768,6.325161,23.366404,62.484295
Kale,145,118,136,203.457063,6.823658,16.795537,63.942906
Radishes,114,92,105,162.427048,6.911634,18.673892,68.155916
Tomatoes,163,147,194,236.339142,6.6936,23.637012,67.043178
Carrots,136,93,117,171.605348,6.635837,17.091196,78.52663
Radishes,112,85,119,167.449877,5.685072,21.197632,65.049742
Carrots,123,95,102,178.803477,6.759672,17.278828,79.162085
Peas,141,106,136,183.213094,5.716532,17.011783,68.577726
Carrots,121,107,106,179.839675,6.648679,16.2536,77.14608
Broccoli,188,132,198,219.550091,6.475767,23.706889,61.158766
Bok choy,150,139,160,180.40407,6.489658,18.66385,61.467812
Bell peppers,142,103,152,186.788389,5.921922,24.807121,64.171564
Mustard greens,139,97,137,196.292853,5.522604,21.901506,61.838641
Mustard greens,136,103,131,193.498012,6.147393,19.564186,61.473822
Brussels sprouts,181,152,194,228.645854,6.366181,17.477739,65.580609
Cauliflower,187,131,171,207.006996,6.612569,21.19766,68.903938
Mustard greens,132,99,132,190.390618,6.655057,18.279436,67.734149
Beans,151,121,148,210.535439,6.118972,23.680211,62.035556
Tomatoes,169,156,197,230.442397,5.607616,20.564586,65.09938
Mustard greens,134,102,121,192.423929,5.688014,23.96565,68.61558
Peas,139,102,125,186.258593,6.309274,18.082859,66.610443
Peas,150,114,126,196.024138,6.021759,16.418502,66.36838
Celery,120,115,144,171.538601,7.385991,18.517571,74.695153
Spinach,155,122,169,190.719463,5.708412,15.159567,60.498787
Eggplant,154,111,143,202.256789,6.859211,25.963061,60.607348
Zucchini,161,145,157,231.975863,5.662693,22.304927,62.122633
Kale,158,111,141,211.568078,5.751319,19.805043,61.404998
Mustard greens,139,104,124,184.823435,6.903945,20.379868,69.530515
Beans,153,113,140,219.197043,6.216399,18.502656,62.689543
Carrots,134,108,109,173.106511,6.855749,17.438261,72.719115
Eggplant,148,128,138,219.391771,6.644574,24.546002,69.026694
Lettuce,166,114,163,216.24141,6.097352,22.737359,61.60987
Cabbage,206,167,214,197.96269,6.271173,15.188317,75.590571
Tomatoes,168,142,183,231.630613,5.6003,20.94758,62.223939
Lettuce,171,117,175,202.936719,6.416848,20.649797,66.212631
Radishes,111,100,110,155.808494,6.872344,20.884518,67.733497
Kale,151,116,139,218.516764,5.625448,19.356774,65.785934
Beans,154,119,141,209.940744,7.104165,23.523201,62.084241
Cauliflower,180,136,168,202.383933,6.008304,20.845792,63.697154
Eggplant,148,116,147,217.357044,6.312098,20.442245,64.056946
Peas,144,105,132,199.998833,5.731244,19.251556,69.968744
Bok choy,167,133,157,182.774038,6.601673,18.984754,68.95166
Bell peppers,141,112,156,184.953196,5.95998,21.264517,69.710657
Spinach,153,129,176,205.890015,6.908093,18.27001,69.512986
Brussels sprouts,200,161,199,214.3503,5.572961,16.76163,62.004772
Kale,143,100,136,204.381807,6.953854,19.034759,64.201372
Peas,147,118,123,186.345605,6.917164,16.861369,67.656697
Celery,137,117,130,164.749428,6.841575,15.889766,73.134775
Broccoli,191,127,193,213.013801,5.783523,20.36741,69.098041
Brussels sprouts,195,152,192,229.001252,6.921642,19.646519,65.937188
Brussels sprouts,199,157,183,225.966145,6.841018,17.583311,64.835726
Cabbage,218,155,203,189.169463,6.824042,18.97652,77.275752
Zucchini,168,150,166,232.531416,6.02893,25.482602,63.992995
Cabbage,202,161,220,199.37491,6.763029,15.741778,75.662669
Cabbage,206,151,207,187.831101,7.409355,18.557846,72.299267
Bok choy,160,130,145,174.607203,5.947665,20.85292,66.085082
Spinach,145,130,174,205.433459,5.811065,18.428863,60.073388
Bell peppers,136,110,150,181.56262,6.582099,21.212288,61.189492
Eggplant,142,124,148,214.548041,6.020947,22.204589,60.857022
Radishes,117,84,109,156.562476,6.872652,18.291702,62.240082
Kale,140,102,147,208.657313,6.467208,15.59616,68.465103
Mustard greens,137,107,128,187.345481,6.523345,22.084811,67.970767
Bell peppers,133,108,168,180.032955,6.0118,22.289622,62.250528
Carrots,139,96,112,177.872873,6.89243,15.852794,71.594468
